Date,Year,Month Number,Month,Quarter,Week,Day,Day Name
10-03-2016 00:00,2016,3,March,Q1,11,10,Thursday
11-03-2016 00:00,2016,3,March,Q1,11,11,Friday
12-03-2016 00:00,2016,3,March,Q1,11,12,Saturday
13-03-2016 00:00,2016,3,March,Q1,12,13,Sunday
14-03-2016 00:00,2016,3,March,Q1,12,14,Monday
15-03-2016 00:00,2016,3,March,Q1,12,15,Tuesday
16-03-2016 00:00,2016,3,March,Q1,12,16,Wednesday
17-03-2016 00:00,2016,3,March,Q1,12,17,Thursday
18-03-2016 00:00,2016,3,March,Q1,12,18,Friday
19-03-2016 00:00,2016,3,March,Q1,12,19,Saturday
20-03-2016 00:00,2016,3,March,Q1,13,20,Sunday
21-03-2016 00:00,2016,3,March,Q1,13,21,Monday
